"팔남이라니, 그건 아니잖아요!","Ichinomiya Shingo, a young 25 years old, single, company worker, while thinking of tomorrow's busy working day goes to sleep. However, the moment he woke up, it was a room unknown to him. He then learned that he was inside a 6-year-old boy and had taken over his mind.Furthermore, he learned a lot from the memories of the said boy: he was born as the youngest child (8th son and 10th child) of a poor noble family living in the backcountry. Having no administrative skills, he couldn't do anything to manage the vast land his family had. Fortunately, he was blessed with a very rare talent, the talent of magic. Unfortunately, while his talent could bring prosperity to his family, in his situation it only brought disaster.Yes, this is the story of the boy, Wendelin von Benno Baumeister, opening his own path in a harsh world.Original raw",Manga,2015,"[{'title': 'Hachinan tte, Sore wa Nai Deshou!', 'type': 'Novel', 'relation': 'Adapted From'}, {'title': 'Hachinan tte, Sore wa nai Deshou! - Hajimari no Monogatari', 'type': 'Manga', 'relation': 'Prequel'}]","[{'title': 'Hachinan tte, Sore wa Nai Deshou!', 'language': 'en'}, {'title': 'Le Huitième fils', 'language': 'fr'}, {'title': 'The 8th Son? Are You Kidding Me?', 'language': 'en'}, {'title': '¿El octavo hijo? ¡Eso no puede ser cierto!', 'language': 'es'}, {'title': 'Восьмой сын? Да не может этого быть!', 'language': 'ru'}, {'title': 'Восьмой сын? Я не могу этого принять!', 'language': 'ru'}, {'title': 'хатинан ттэ, сорэ ва най дэсё:', 'language': 'ru'}, {'title': 'ผมเนี่ยนะ...ชายแปด!', 'language': 'th'}, {'title': '八男って、それはないでしょう!', 'language': 'ja'}, {'title': '八男？别闹了！', 'language': 'zh-cn'}, {'title': '팔남이라니, 그건 아니잖아요!', 'language': 'ko'}]","{'volume': 14, 'status': 'Ongoing'}",https://cdn.mangaupdates.com/image/i454081.jpg,['KUSUMOTO Hiroki'],['Y.A'],"[{'publisher': 'Kadokawa', 'label': ''}]","[{'publisher': 'Kadokawa', 'label': 'Isekai Comic'}, {'publisher': 'Kadokawa', 'label': 'Comic Walker'}]","['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Harem', 'Romance', 'Seinen']","[{'volume_start': '', 'anime_start': 1, 'volume_end': '', 'anime_end': 11}]"
Happou Yabure,,Manga,1985,[],"[{'title': 'Happou Yabure', 'language': 'en'}, {'title': 'はっぽうやぶれ', 'language': 'ja'}]","{'volume': 6, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i216708.jpg,['KAWAGUCHI Kaiji'],['KAWAGUCHI Kaiji'],"[{'publisher': 'Takeshobo', 'label': ''}]","[{'publisher': 'Takeshobo', 'label': 'Kindai Mahjong Original'}]","['Historical', 'Seinen']",[]
Happy Angel,,Manga,1998,[],"[{'title': 'Happy Angel', 'language': 'en'}, {'title': 'ハニー☆エンジェル', 'language': 'ja'}, {'title': 'ハニー・エンジェル', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['MORI Hiromi'],['MORI Hiromi'],"[{'publisher': 'Cosmic International', 'label': ''}]",[],"['Adult', 'Hentai']",[]
Happy Antimoral,,Manga,2023,[],"[{'title': 'Happy Antimoral', 'language': 'en'}, {'title': 'ハッピーアンチモラル', 'language': 'ja'}]","{'volume': 0, 'status': ''}",https://cdn.mangaupdates.com/image/i439730.jpg,['Jbn'],['Jbn'],"[{'publisher': 'Brite Shuppan', 'label': ''}]","[{'publisher': 'Brite Shuppan', 'label': 'Tulle'}]","['Drama', 'Yaoi']",[]
Happy Birthday,,Manga,2004,[],"[{'title': 'Happy Birthday', 'language': 'en'}, {'title': 'ハッピー バースデー', 'language': 'ja'}, {'title': '生日快乐', 'language': 'ko'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i11360.png,['HARA Asumi'],['HARA Asumi'],"[{'publisher': 'Kodansha', 'label': ''}]","[{'publisher': 'Kodansha', 'label': 'Nakayoshi'}]",['Shoujo'],[]
Happy Bird,"It must be nice to be an android. Something you don't know? Simply install it. Masato isn't an android, but his neighbor is, and he has been entrusted with looking after it. The android known as Koto Nakahara appears to be almost identical to a human, but if she goes without water, her fuel source, for too long... she could explode! With tests looming over, will Masato be able to study for his exams and be able to keep an eye on Koto the android?Official English Release",Manga,2014,[],[],"{'volume': 0, 'status': ''}",https://cdn.mangaupdates.com/image/i350760.jpg,['FUKASAKU Emi'],['FUKASAKU Emi'],[],[],"['Romance', 'Shounen', 'Slice of Life']",[]
Happy Birthday,"From Yuzu Scanlations:Sakuto, a company employee, Kousuke, a bar manager and Yuutarou, a shop manager met in college and have been close friends ever since. Although their sexualities, jobs and personalities are different, all three have one thing in common: each has lost his grip on life, friendship and love. Their determination to overcome these bad experiences and move forward binds them together.",Manga,2014,[],"[{'title': 'Happy Birthday', 'language': 'en'}, {'title': 'ハッピーバースデー', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i260871.png,['ymz'],['ymz'],"[{'publisher': 'Printemps Shuppan', 'label': ''}]","[{'publisher': 'Printemps Shuppan', 'label': 'Canna'}]","['Shounen Ai', 'Slice of Life']",[]
Happy Birthday,,Manga,1995,[],"[{'title': 'Happy Birthday', 'language': 'en'}, {'title': 'ハッピーバースディー', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i195177.jpg,['SATONAKA Machiko'],['SATONAKA Machiko'],"[{'publisher': 'Kodansha', 'label': ''}]",[],['Josei'],[]
Happy Bloody Wedding - Chikai no Kiss made Ato Nanshuu?,,Manga,2024,[],"[{'title': 'Happy Bloody Wedding - Chikai no Kiss made Ato Nanshuu?', 'language': 'en'}, {'title': 'Happy Bloody Wedding', 'language': 'cy'}, {'title': 'ハッピー・ブラッディ・ウェディング', 'language': 'ja'}, {'title': 'ハッピー・ブラッディ・ウェディング～誓いのキスまであと何周？～', 'language': 'ja'}]","{'volume': 1, 'status': 'Ongoing'}",https://cdn.mangaupdates.com/image/i457526.jpg,['Misono'],['Misono'],"[{'publisher': 'DeNA', 'label': ''}]","[{'publisher': 'DeNA', 'label': 'Manga Box'}]","['Drama', 'Josei', 'Romance']",[]
Happy Birthday to Me!,,Manga,2000,[],[],"{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i18700.jpg,['KIMURA Aya (木村文)'],['KIMURA Aya (木村文)'],"[{'publisher': 'Shueisha', 'label': ''}]",[],"['Drama', 'Shoujo']",[]
해피 캔디 바이러스,"After my death, my life began to improve...?!Mafuyu is called ""corpse doll"" because of the scars on her face. She meets a young man from out of town, Shizuki, but when he hears rumors that ""a dead man walks night by night,"" the expression on his face changes and he starts running. Then a girl comes up to Mafuyu and goes for her neck...Panic, romance, horror, and much more! Indomitable DEATH x LIFE!!(Source: Hakusensha, machine translated)Manga Park releases",Manga,2021,[],"[{'title': 'Happy Candy Virus', 'language': 'en'}, {'title': 'ハッピーキャンディーウイルス', 'language': 'ja'}, {'title': '해피 캔디 바이러스', 'language': 'ko'}]","{'volume': 4, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i414726.jpg,['OOTORI Kaoru'],['OOTORI Kaoru'],"[{'publisher': 'Hakusensha', 'label': ''}]","[{'publisher': 'Hakusensha', 'label': 'Manga Park'}]","['Drama', 'Fantasy', 'Horror', 'Romance', 'Shoujo']",[]
Happy Chokuzen,"Mizuki has been hired to be the private tutor of Naomae kun, one of the worst student of his class....  Naomae kun is not only lazy, but is pretty much incredibly negative when facing academic studies, fact which prompts the serious Mizuki to be very diligent when dealing with Naomae's classes. Naomae is not only a bad student, but also is a little bit of a prankster, so he really isn't easy to tame when it comes right down to it.... And before she notices it, the relationship between the two has this very strange chemistry that can't be easily explained. Naomae, for his part; is quick to fall for Mizuki, and suddenly his goal changes from ""getting into the best high-school"" to ""going to the same high-school that Mizuki"", while the high-school is actually the same for those two objectives, Naomae seems to take the second phrasing of his goal much more seriously.... Yet not seriously enough.",Manga,1987,[],"[{'title': 'Happy Chokuzen', 'language': 'en'}, {'title': 'Happii Chokuzen', 'language': 'pl'}, {'title': 'Just Before Happiness', 'language': 'en'}, {'title': 'はっぴぃ直前', 'language': 'ja'}, {'title': '向前走', 'language': 'ko'}]","{'volume': 0, 'status': ''}",https://cdn.mangaupdates.com/image/i195191.jpg,['KATSU Aki'],['KATSU Aki'],"[{'publisher': 'Kodansha', 'label': '2005'}, {'publisher': 'Shogakukan', 'label': '1987'}]","[{'publisher': 'Shogakukan', 'label': 'Shuukan Shounen Sunday'}]","['Ecchi', 'Romance', 'School Life', 'Shounen']",[]
Happy Boy Lucky Guy,,Manga,1998,[],"[{'title': 'Happy Boy Lucky Guy', 'language': 'en'}, {'title': 'HAPPY BOY・LUCKY GUY', 'language': 'de'}, {'title': 'HAPPYBOY・LUCKY GUY', 'language': 'de'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i40334.png,['KIRISHIMA Tamaki'],['KIRISHIMA Tamaki'],"[{'publisher': 'Outou Shobou', 'label': ''}]",[],['Yaoi'],[]
Happy Clinic,,Manga,2000,[],"[{'title': 'Happy Clinic', 'language': 'en'}, {'title': 'ハッピークリニック', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['NEKOJIMA Lei'],['Nekojima Lei'],"[{'publisher': 'Kaiousha', 'label': ''}]",[],"['Adult', 'Hentai']",[]
Happy Clover House,,Manga,2009,[],"[{'title': 'Happy Clover House', 'language': 'en'}, {'title': 'ハッピークローバーハウス', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i65020.jpg,['HORI Erio'],['HORI Erio'],"[{'publisher': 'Gentosha', 'label': ''}]","[{'publisher': 'Gentosha', 'label': 'RuTile'}]",['Shounen Ai'],[]
Happy Cooking,,Manga,2003,[],"[{'title': 'Happy Cooking', 'language': 'en'}, {'title': 'ハッピークッキング', 'language': 'ja'}]","{'volume': 3, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i195193.jpg,['SHINOZAKI Kaoru'],['SHINOZAKI Kaoru'],"[{'publisher': 'Aoba Shuppan', 'label': ''}]",[],['Josei'],[]
Happy Day!!,,Manga,1997,[],"[{'title': 'Happy Day!!', 'language': 'en'}, {'title': 'ハッピーディ!!', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['ARINO Hiroshi'],['ARINO Hiroshi'],"[{'publisher': 'Oakla Shuppan', 'label': ''}]",[],"['Adult', 'Hentai']",[]
Happy Days,,Manga,2003,[],"[{'title': 'Happy Days', 'language': 'en'}, {'title': 'ハッピーデイズ', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['SATOU Chagashi'],['SATOU Chagashi'],"[{'publisher': 'Eichi Shuppan', 'label': ''}]",[],"['Adult', 'Hentai']",[]
Happy Come Come,,Manga,2005,[],"[{'title': 'Happy Come Come', 'language': 'en'}, {'title': 'Happy Kamu Kamu', 'language': 'sw'}, {'title': 'ハッピーカムカム', 'language': 'ja'}]","{'volume': 1, 'status': 'Discontinued'}",https://cdn.mangaupdates.com/image/i108271.jpg,['KATAGIRI Atsuko'],['KATAGIRI Atsuko'],"[{'publisher': 'Houbunsha', 'label': ''}]","[{'publisher': 'Houbunsha', 'label': 'Manga Time Lovely'}]","['Comedy', 'Josei', 'Slice of Life']",[]
Happy Days,,Manga,1988,[],"[{'title': 'Happy Days', 'language': 'en'}, {'title': 'ハッピーデイズ', 'language': 'ja'}]","{'volume': 2, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i195195.jpg,['YOSHIDA Mayumi'],['YOSHIDA Mayumi'],"[{'publisher': 'Kodansha', 'label': ''}]","[{'publisher': 'Kodansha', 'label': 'mimi'}]",['Shoujo'],[]
Happy Destination,,Manga,2022,[],"[{'title': 'Happy Destination', 'language': 'en'}, {'title': 'ハッピー・デスティネーション', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i400019.jpg,['ENBA Kiyo'],['ENBA Kiyo'],"[{'publisher': 'Kaiousha', 'label': ''}]",[],"['Fantasy', 'Yaoi']",[]
Happy Drunk,,Manga,2015,[],"[{'title': 'Happy Drunk', 'language': 'en'}, {'title': 'Happy Drunk はっぴ♥どらんく', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['KASUMI'],['KASUMI'],[],[],"['Adult', 'Hentai']",[]
Happy End,,Manga,2012,[],"[{'title': 'Happy End', 'language': 'en'}, {'title': 'Happy End', 'language': 'en'}, {'title': 'はっぴーえんど', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['NODA Yuji'],['NODA Yuji'],"[{'publisher': 'Sun Shuppan', 'label': ''}]","[{'publisher': 'Sun Shuppan', 'label': 'Magazine WOoooo'}]","['Adult', 'Hentai']",[]
Happy End,,Manga,2016,[],"[{'title': 'Happy End', 'language': 'en'}, {'title': 'はっぴーえんど（魚戸おさむ）', 'language': 'ja'}]","{'volume': 9, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i309163.jpg,['UOTO Osamu'],"['OOTSU Shuuichi', 'UOTO Osamu']","[{'publisher': 'Shogakukan', 'label': ''}]","[{'publisher': 'Shogakukan', 'label': 'Big Comic'}]",['Seinen'],[]
Happy End,,Manga,2002,[],"[{'title': 'Happy End', 'language': 'en'}, {'title': 'ハッピーエンド', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i15109.jpg,['GEORGE Asakura'],['GEORGE Asakura'],"[{'publisher': 'Kodansha', 'label': ''}]",[],"['Josei', 'Mature']",[]
Happy End,,Manga,1999,[],"[{'title': 'Happy End', 'language': 'en'}, {'title': 'ハツピーエンド', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['ARUMA Jirou'],['ARUMA Jirou'],"[{'publisher': 'France Shoin', 'label': ''}]",[],"['Adult', 'Hentai']",[]
Happy End 2/3,,Manga,1979,[],"[{'title': 'Happy End 2/3', 'language': 'en'}, {'title': 'ハッピーエンド2/3', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i145482.jpg,[],['SAKOU Sakae'],"[{'publisher': 'Kodansha', 'label': ''}]",[],['Shoujo'],[]
Happy End ga Kieta Hi ni,"Can you come to my house if you like?  ” A love story about a pampering high-end junior and Jire-kyun, an office lady whose engagement has been broken off!  When Nao witnesses her boyfriend cheating on her just before they get married, she is so shocked that she is called a ""boring woman"" and runs out of her house.  Just when she had nowhere to go, she ran into Josaki, a junior at the company.  When she tells him about her situation, he offers her to live with him on one condition...!  ?  Every day begins with excitement as a younger boy glimpses a man's face!  !",Manga,2022,[],"[{'title': 'Happy End ga Kieta Hi ni', 'language': 'en'}, {'title': 'ハッピーエンドが消えた日に', 'language': 'ja'}]","{'volume': 0, 'status': ''}",https://cdn.mangaupdates.com/image/i401739.jpg,['KAMEYA Tomomasa'],['HOTTA Riho'],"[{'publisher': 'BookLive', 'label': ''}]","[{'publisher': 'BookLive', 'label': 'Comic Etoile'}]","['Josei', 'Romance']",[]
Happy End de Hajime You,"In an instant, a host of the recently deceased discover that they've been given another shot at happiness...as adorable cats! Will they make the most of their seven-day opportunity? Or will the fur fly as they struggle to figure out what life's all about? Start with a Happy Ending follows finicky felines and curious kittens as they take a crash course in the ups and downs of existence! Can reincarnation give a legion of lost souls the wake-up call they truly need?",Manga,2010,[],"[{'title': 'Happy End de Hajime You', 'language': 'en'}, {'title': 'Happy End de Hajimeyou', 'language': 'en'}, {'title': 'Happy Ending de Hajime You', 'language': 'nl'}, {'title': ""Let's Start from the Happy Ending"", 'language': 'en'}, {'title': 'Start With a Happy Ending', 'language': 'en'}, {'title': 'ハッピーエンドではじめよう', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i111485.jpg,['MOTOYAMA Risa'],['MOTOYAMA Risa'],"[{'publisher': 'Houbunsha', 'label': ''}]","[{'publisher': 'Houbunsha', 'label': 'Manga Time Jumbo'}]","['Seinen', 'Slice of Life', 'Supernatural']",[]
해피 엔드를 좋아하죠?,,Manga,2018,[],"[{'title': 'Happy End ga Osukidesho', 'language': 'en'}, {'title': '[비애] 해피 엔드를 좋아하죠?', 'language': 'ko'}, {'title': 'ハッピーエンドがお好きでしょ?', 'language': 'ja'}, {'title': '해피 엔드를 좋아하죠?', 'language': 'ko'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i292625.jpg,['NISHIHARA Keita'],['NISHIHARA Keita'],"[{'publisher': 'Gentosha', 'label': ''}]","[{'publisher': 'Gentosha', 'label': 'Lynx'}]","['Romance', 'Yaoi']",[]
Happy End Mitai ni,,Manga,2008,[],"[{'title': 'Happy End Mitai ni', 'language': 'en'}, {'title': 'Happy Ending Mitai ni', 'language': 'tl'}, {'title': 'ハッピーエンドみたいに', 'language': 'ja'}, {'title': '誰都想要快樂結局', 'language': 'ko'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i36463.jpg,['SASAKI Yukie'],['SASAKI Yukie'],"[{'publisher': 'Futabasha', 'label': ''}]",[],"['Romance', 'School Life', 'Shoujo']",[]
Happy End ja Owarasenai -Ikemen Biyoushi no Aisare Lesson-,"After a bitter divorce, Saya thinks that romance is a thing of the past... She decides to focus on her career as a nail artist. But, one of her customers is determined to get Saya back in the dating scene and makes an appointment with a handsome hair stylist, Kazuhide Asou. After all the years of neglecting her looks, Saya feels better about herself after getting the haircut and decides to treat herself to a drink at a bar and runs into Kazuhide! Saya falls for his sweet words and good looks and lets herself spend the night with him just once. She's happy she let herself have that one night and remembers it as a sweet memory, when Kazuhide walks into her life again and makes her an outrageous proposal!! A nail artist with a past and a good looking hairstylist! The beginning of Saya's new life!Ofiicial English Translation",Manga,2021,[],"[{'title': 'Happy End ja Owarasenai -Ikemen Biyoushi no Aisare Lesson-', 'language': 'en'}, {'title': 'Not Just Any Happy Ending -The Handsome Hair Dresser Teaching Me About Love-', 'language': 'en'}, {'title': 'ハッピーエンドじゃ終わらせない－イケメン美容師の愛されレッスン－', 'language': 'ja'}]","{'volume': 0, 'status': ''}",https://cdn.mangaupdates.com/image/i356990.jpg,['MIYAZAKI Uno'],['MIYAZAKI Uno'],"[{'publisher': 'Taiseisha', 'label': ''}]","[{'publisher': 'Taiseisha', 'label': 'Love Coffre'}]","['Josei', 'Romance', 'Smut']",[]
Happy End na Koi no Tokikata,,Manga,2014,[],"[{'title': 'Happy End na Koi no Tokikata', 'language': 'en'}, {'title': 'ハッピーエンドな恋の解き方', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i195412.jpg,['AKATSUKI Riku'],['AKATSUKI Riku'],"[{'publisher': 'Oakla Shuppan', 'label': ''}]","[{'publisher': 'Oakla Shuppan', 'label': 'Comic Aqua'}]",['Yaoi'],[]
Happy End kamo Shirenai,,Manga,1989,[],"[{'title': 'Happy End kamo Shirenai', 'language': 'en'}, {'title': 'ハッピーエンドかもしれない', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i379920.jpg,['MEJIRO Hanako'],['MEJIRO Hanako'],"[{'publisher': 'Shueisha', 'label': ''}]","[{'publisher': 'Shueisha', 'label': 'Office YOU'}]",['Josei'],[]
Happy End no Kami-sama,,Manga,2024,[],"[{'title': 'Happy End no Kami-sama', 'language': 'en'}, {'title': 'ハッピーエンドの神様', 'language': 'ja'}]","{'volume': 0, 'status': ''}",https://cdn.mangaupdates.com/image/i452723.jpg,['ODA Aya'],['ODA Aya'],"[{'publisher': 'Shogakukan', 'label': ''}]","[{'publisher': 'Shogakukan', 'label': 'Ane Petit'}]","['Drama', 'Josei', 'Romance']",[]
Happy End no Atogaki wo,,Manga,2021,[],"[{'title': 'Happy End no Atogaki wo', 'language': 'en'}, {'title': 'ハッピーエンドのあとがきを', 'language': 'ja'}, {'title': '快乐结局结束后是我们的故事', 'language': 'zh-cn'}, {'title': '快樂結局結束後是我們的故事', 'language': 'ko'}]","{'volume': 0, 'status': ''}",https://cdn.mangaupdates.com/image/i456034.jpg,['ICHIJOU Lemon'],['ICHIJOU Lemon'],"[{'publisher': 'IProduction', 'label': ''}]","[{'publisher': 'IProduction', 'label': 'Comic Donna'}]","['Adult', 'Drama', 'Yaoi']",[]
Happy End no Tsuzuki wo,"Self-made millionaire Theo Pantheras has pulled himself up by the bootstraps, so he can have anything his heart desires. There is just one thing he wants: his long-lost son.Theo is no longer from the wrong side of the tracks and isn't the wild boy Stella Athas fell in love with six years ago, but seeing him again rocks her ordered world.Stella wants Theo to know he broke her heart, but first there's a little someone he has to meet….",Manga,2016,[],"[{'title': 'Happy End no Tsuzuki wo', 'language': 'en'}, {'title': 'Happy End no Tsuzuki o', 'language': 'tl'}, {'title': ""The Greek's Long-Lost Son"", 'language': 'en'}, {'title': 'ハッピーエンドの続きを', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i258667.png,['SAKURA Haruhi'],['Rebecca Winters'],"[{'publisher': 'Harlequin', 'label': ''}]",[],"['Josei', 'Romance']",[]
Happy End no Saki wa,,Manga,2017,[],"[{'title': 'Happy End no Saki wa', 'language': 'en'}, {'title': 'ハッピーエンドの先は', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i279278.jpg,['SAKURABA Chidori'],['SAKURABA Chidori'],"[{'publisher': 'Gentosha', 'label': ''}]","[{'publisher': 'Gentosha', 'label': 'Rutile'}]",['Yaoi'],[]
Happy End o Nerae!,,Manga,2010,[],"[{'title': 'Happy End o Nerae!', 'language': 'en'}, {'title': 'Happy End wo Nerae!', 'language': 'en'}, {'title': 'Happy Ending o Nerae!', 'language': 'tl'}, {'title': 'ハッピーエンドをねらえ!', 'language': 'ja'}]","{'volume': 0, 'status': ''}",,['TAMURA Ako'],['TAMURA Ako'],"[{'publisher': 'Kodansha', 'label': ''}]",[],['Shoujo'],[]
Happy End of the World,,Manga,1999,[],"[{'title': 'Happy End of the World', 'language': 'en'}, {'title': 'ハッピー・エンドオブ・ザ・ワールド', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['Uramac'],['Uramac'],"[{'publisher': 'Fusion Product', 'label': ''}]",[],"['Adult', 'Hentai']",[]
Happy End wo Yakusoku Shimasu,"Successful businessman Kou Tsubaki is hopelessly in love with the jobless Kentaro Shimono. While attending a singles party, Kou bumps into Kentaro, who was a few grades above him in high school. The only reason Kou was there in the first place was to get over Kentaro... When Kou learns that Kentaro is homeless, he invites the older man to stay with him, and Kentaro doesn't mind showing Kou just how grateful he is. How will Kou react when the man of his dreams is right in front of him...!?",Manga,2018,[],"[{'title': 'Happy End wo Yakusoku Shimasu', 'language': 'en'}, {'title': 'I Promise You a Happy Ending', 'language': 'en'}, {'title': 'ハッピーエンドを約束します', 'language': 'ja'}, {'title': '幸福快乐的结局一定会实现', 'language': 'zh-cn'}, {'title': '許你一個幸福的結局', 'language': 'zh-tw'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i283016.jpg,['HAMADA Kamome'],['HAMADA Kamome'],"[{'publisher': 'Shu-Cream', 'label': ''}, {'publisher': 'Takeshobo', 'label': ''}]","[{'publisher': 'Shu-Cream', 'label': 'moment'}]","['Romance', 'Yaoi']",[]
Happy End wa Kamisama no Iutoori,,Manga,2023,[],"[{'title': 'Happy End wa Kamisama no Iutoori', 'language': 'en'}, {'title': 'Happy Ending, Just as God Says', 'language': 'en'}, {'title': 'ハッピーエンドは神様の言うとおり', 'language': 'ja'}]","{'volume': 0, 'status': ''}",https://cdn.mangaupdates.com/image/i408161.jpg,['UME Goro'],['Nikki'],"[{'publisher': 'Funguild', 'label': ''}]","[{'publisher': 'Funguild', 'label': 'Jamtoon'}]","['Fantasy', 'Romance']",[]
Happy Ending Kuso Kurae,"When Ume was five years old, he fell in love at first sight with his next-door neighbor, Hara-chan. 20 years have passed and Ume has found himself becoming a sex friend to his unrequited love. However, Hara-chan's actions and feelings towards Ume have slowly become even more confusing?",Manga,2017,[],"[{'title': 'Happy Ending Kuso Kurae', 'language': 'en'}, {'title': 'Happy ending eat shit', 'language': 'en'}, {'title': 'ハッピーエンドくそ喰らえ', 'language': 'ja'}, {'title': '去你的Happy Ending', 'language': 'tl'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i300559.jpg,['AOFUJI Kii'],['AOFUJI Kii'],"[{'publisher': 'Oakla Shuppan', 'label': ''}]","[{'publisher': 'Oakla Shuppan', 'label': 'Enigma'}]","['Comedy', 'Drama', 'Romance', 'Yaoi']",[]
Happy Ends,"From the Ultimate Manga Guide:Ai is a freshman at a computer company. She doesn't know the first thing about computers, but she has a warm-hearted personality. What's her love life like? A work depicting the passion of adolescent girls.",Manga,1992,[],"[{'title': 'Happy Ends', 'language': 'en'}, {'title': '爱情狂想曲', 'language': 'ko'}]","{'volume': 3, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i195203.jpg,['FUJITA Kazuko'],['Fujita Kazuko'],"[{'publisher': 'Shogakukan', 'label': ''}]",[],"['Romance', 'Shoujo']",[]
Happy Family,,Manga,1994,"[{'title': '4 1/4', 'type': 'Manga', 'relation': 'Sequel'}]","[{'title': 'Happy Family', 'language': 'en'}, {'title': 'ハッピー・ファミリー', 'language': 'ja'}]","{'volume': 2, 'status': 'Bunko edition'}",https://cdn.mangaupdates.com/image/i263076.jpg,['MIHARA Mitsukazu'],['MIHARA Mitsukazu'],"[{'publisher': 'Shodensha', 'label': ''}]","[{'publisher': 'Shodensha', 'label': 'Feel Young'}]","['Josei', 'Romance']",[]
해피 퍼니 스토크 데이즈,,Manga,2022,[],"[{'title': 'Happy Funny Stoke Days', 'language': 'en'}, {'title': 'Happy Funny Stalk Days', 'language': 'en'}, {'title': 'ハッピーファニーストークデイズ', 'language': 'ja'}, {'title': '해피 퍼니 스토크 데이즈', 'language': 'ko'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i391487.jpg,['Karasumaru'],['Karasumaru'],"[{'publisher': 'Takeshobo', 'label': ''}]",[],['Yaoi'],[]
Happy Family - Fukushuu no Rental Okaa-san,"Excessive love, sex checks, and self-prioritizing toxic parents who treat their daughters as accessories. Exhausted by the selfishness of her toxic parents, the daughter turns to a ""rental mother"" service. The `Aida' who was sent to her is an ideal mother who is beautiful, kind, and competent! However, she's gradually entering into the family...!? Yeah, my family is being taken over.",Manga,2022,[],"[{'title': 'Happy Family - Fukushuu no Rental Okaa-san', 'language': 'en'}, {'title': 'ハッピーファミリー', 'language': 'ja'}, {'title': 'ハッピーファミリー 復讐のレンタルお母さん', 'language': 'ja'}]","{'volume': 1, 'status': 'Ongoing'}",https://cdn.mangaupdates.com/image/i417877.jpg,['FUNAKI Ryousuke'],['FUNAKI Ryousuke'],"[{'publisher': 'Tokuma Shoten', 'label': ''}]","[{'publisher': 'Tokuma Shoten', 'label': 'Web Comic Zenyon'}]","['Drama', 'Horror', 'Mystery', 'Psychological', 'Seinen']",[]
