Burg Hamburg Burg,"['Baagu Hanbaagu Baagu', 'BHB', 'Bāgu Hanbāgu Bāgu', 'Kabushikigaisha Bāgu Hanbāgu Bāgu', 'Omocoro', 'オモコロ', 'バーグハンバーグバーグ', '株式会社バーグハンバーグバーグ']",Japanese,https://bhb.co.jp/
Bunkasha,"['Nihon Bunkasha', 'Nippon Bunka, Inc.', 'Nippon Bunkasha', 'ぶんか社', '日本文華社']",Japanese,http://www.bunkasha.co.jp/
C-Lab,"['C-Lab Co. Ltd.', 'C-Lab Co.,Ltd.', 'シーラボ', '株式会社シーラボ']",Japanese,http://c-labo.co.jp/
Bushiroad,['N/A'],Japanese,http://www.bushiroad.com/
BY4M STUDIO,"['Baipo-em Studio', 'Baipoem Studio', 'Bipo M Studio', 'Bipom Studio', 'BY4M', 'BYPO M STUDIO', '바이포엠스튜디오']",Korean,http://www.by4mstudio.com/
C's Jouhou Shuppan,"[""C's Books"", ""C's Joujou Shuppan"", 'CS Jouhou Shuppan', 'シーズ情報出版']",Japanese,http://www.cs-books.net/
Camel Books,"['Camel', 'Camel Factory', 'Carmel', 'Carmel Books', 'Kamel', 'Kamel Books', '카멜', '카멜북스']",Korean,http://www.camelbooks.co.kr/
Canna Comics,['N/A'],Japanese,https://www.c-canna.jp/
Capcom,"['CAPCOM Co., Ltd.', 'Capcom Comics', 'カプコン']",Japanese,http://www.capcom.co.jp/
Carlsen,"['Carlsen Comics', 'Carlsen Verlag']",German,http://www.carlsen.de/
Byakuya Shobou,"['Byakuya Shobo', '白夜書房']",Japanese,http://www.byakuya-shobo.co.jp/
Castine,"['Casteen', 'Kyasuteen', 'Kyasutiin', 'Kyasutin', 'キャスティーン']",Japanese,
CANNT WORKS,"['CANNT', 'Caramel And Neon.B New Track', '칸트 웍스']",Korean,http://neonb.net/
CartoonThai Studio,['N/A'],Thai,http://ctstudio.all-up.com/
Castelli,"['Cascomi', 'Caskomi', 'Caslab', 'Caslove', 'Castelli Mobile', 'castellimobile', 'Kyasukomi', 'Kyasurabu', 'キャスコミ', 'キャスラブ']",Japanese,
Cartoon World,"['Manhwa World', '만화세상']",Korean,
Central Park Media,['CPM'],English,
CCC,"['CCC創作集', 'Creative Comic', 'Creative Comic Collection', 'Creative Comic Collection 追漫台', 'Creative Comic Taiwan']",Taiwanese,https://www.creative-comic.tw/zh/
Changjiang Literature and Art Publishing House,"['Changjiang Literature & Art Press', 'Changjiang Literature and Art Press']",Chinese,
Cherish Media,"['Cheliswi Media', 'Cheriswi Media', '체리쉬미디어']",Korean,https://twitter.com/cherish_media_
Chaek Kkeuteul Joptta,"['Book Corner Toon', 'Book End Toon', 'Chaeg Kkeut-Eul Jeobda', 'ChaegKkeuToon', 'Chaek Kkeu', 'Chaek Kkeu Toon', 'Chaek Kkeut Eul Joptta', 'Chaek Kkeut-Eul Jeobda', 'Chaek Kkeut-Eul Joptta', 'ChaekKkeu', 'ChaekKkeuToon', 'Fold the Book Corner', 'Fold the Corner of a Book', 'Fold the End of a Book', '책 끝을 접다', '책끝', '책끝을접다', '책끝툰']",Korean,https://twitter.com/_dogear_
Chic Novel,"['Chic Noble', '시크노블']",Korean,
CeREELs,['씨릴즈'],Korean,https://cereels.com/
Changjiang Press,"['长江出版传媒股份有限公司', '长江出版社']",Chinese,http://www.cjpress.com.cn/
Changjiang Wenyi Chubanshe,['长江文艺出版社'],Chinese,
Changzheng Publishing House,"['Changzheng Press', 'Long March Press', 'Long March Publishing House', '长征出版社']",Chinese,
China Literature,"['China Literature Limited', 'China Reading', 'Yue Wen', 'Yuewen', 'Yuè Wén', 'Yuèwén', '阅文']",Chinese,
Cheongpung Contents Studio,"['Cheongpoong Content Studio', 'Cheongpoong Contents Studio', 'Cheongpung Content Studio', 'Cheongpung Contents Studio Co., Ltd.', '청풍 콘텐츠 스튜디오', '청풍컨텐츠스튜디오', '청풍컨텐츠스튜디오(주)']",Korean,
China Times Publishing,"['China Times Publishing Co.', 'Reading Times', 'readingtimes', '時報出版']",Chinese,http://www.readingtimes.com.tw
Ching Win,"['Chingwin', 'Chingwin Publishing Group', 'Seibun Shuppansha', '青文出版社', '青文出版社股份有限公司']",Taiwanese,http://www.ching-win.com.tw/
Chereads,['N/A'],English,https://www.chereads.com/
Chikuma Shuuhansha,"['Chikuma Shobo', 'Chikuma Shobou', 'Chikuma Shobō', 'Chikuma Shuhan', 'Chikuma Shuhansha', 'Chikumashobo', 'Chikumashobou', 'チクマ秀版社', '筑摩書房']",Japanese,
Chongqing Publishing House,['重庆出版社'],Chinese,
